21;1;6;6
22;1;5;1
23;1;12;9
41;2;2;7
42;2;4;2
43;2;18;8
61;3;18;2
62;3;20;6
63;3;5;5
81;4;13;4
82;4;18;8
83;4;20;3
101;5;18;2
102;5;17;3
103;5;9;6
121;6;20;3
122;6;8;4
123;6;1;1
141;7;4;4
142;7;14;8
143;7;13;3
161;8;1;1
162;8;2;9
163;8;17;2
181;9;8;3
182;9;14;5
183;9;13;7
201;10;7;9
202;10;1;4
203;10;4;3
221;11;5;1
222;11;1;10
223;11;8;2
241;12;4;3
242;12;7;10
243;12;4;6
261;13;2;4
262;13;6;9
263;13;4;4
281;14;9;7
282;14;16;7
283;14;9;6
301;15;6;6
302;15;17;1
303;15;8;9
321;16;15;8
322;16;15;4
323;16;9;5
341;17;11;5
342;17;18;7
343;17;6;8
361;18;1;5
362;18;16;10
363;18;16;5
381;19;20;8
382;19;2;2
383;19;19;8
401;20;7;10
402;20;15;6
403;20;2;9
